,summary,Krise,Energiequelle,Energiewende,Folgen,word
abbuchen,1.9206988736397383,-0.021356680095962786,0.07885594997764707,0.022689778952315397,0.015995535598204547,abbuchen
abschlagszahlung abbuch,1.9206988736397383,-0.021356680095962786,0.07885594997764707,0.022689778952315397,0.015995535598204547,abschlagszahlung abbuch
Detail,1.9037483870414504,-0.027113317770975077,0.08772028850044447,0.03155411747511255,0.024859874121001983,Detail
doch detail,1.9037483870414504,-0.027113317770975077,0.08772028850044447,0.03155411747511255,0.024859874121001983,doch detail
detail lauer,1.897971848445284,-0.02910631759550443,0.09075919861684961,0.03459302759151764,0.027898784237406965,detail lauer
Tücken,2.171220177964569,0.05039208601619064,-0.04374423704324769,-0.09991040806857948,-0.1066046514226901,Tücken
lauer tücke,1.8889306291989592,-0.032258252371602326,0.09553420218692082,0.03936803116158905,0.03267378780747832,lauer tücke
selten werd,1.8789154785008784,-0.03579694659183507,0.10085032922527845,0.04468415819994656,0.037989914845836005,selten werd
werd gesetzentwurf,1.8729025656048168,-0.03794579838454477,0.10405566486443665,0.04788949383910494,0.04119525048499443,werd gesetzentwurf
gesetzentwurf bundesregierung,1.8631841416562225,-0.04145815036504694,0.10925813827030442,0.0530919672449727,0.04639772389086184,gesetzentwurf bundesregierung
bundesregierung verbraucher,1.8537553045685613,-0.044913054713453866,0.11433159047411678,0.058165419448784984,0.05147117609467429,bundesregierung verbraucher
sehnlich,1.847056085335445,-0.04739657321206718,0.11795200007878716,0.06178582905345533,0.05509158569934482,sehnlich
verbraucher sehnlich,1.847056085335445,-0.04739657321206718,0.11795200007878716,0.06178582905345533,0.05509158569934482,verbraucher sehnlich
sehnlich erwart,1.8435681522335454,-0.048699220385696254,0.11984215952923416,0.0636759885039025,0.056981745149791964,sehnlich erwart
Dezemberhilfe,1.8361037796537405,-0.05150935930596018,0.12389925100727779,0.06773307998194598,0.061038836627835276,Dezemberhilfe
erwart dezemberhilfe,1.8361037796537405,-0.05150935930596018,0.12389925100727779,0.06773307998194598,0.061038836627835276,erwart dezemberhilfe
dezemberhilfe gas-,1.8303529629992112,-0.05369547596060265,0.1270362422629712,0.07087007123763936,0.06417582788352877,dezemberhilfe gas-
Fernwärmekunden,1.8276716143474216,-0.054721112885846794,0.12850225162147613,0.07233608059614419,0.06564183724203358,Fernwärmekunden
gas- fernwärmekunde,1.8276716143474216,-0.054721112885846794,0.12850225162147613,0.07233608059614419,0.06564183724203358,gas- fernwärmekunde
weit,3.458568721800283,-0.03641473850857311,-0.5093097727934376,0.6569002786470057,-0.5721701871728802,weit
